1020 hours ago, cpt-hq-sftp01.hq.takealot.com, ubuntu 18.04.
926 hours ago, cpt-dc-ns03.cwh.takealot.com, ubuntu 20.04.
866 hours ago, cpt-sb-qv02-replacement.hq.takealot.com, ubuntu 22.04.
767 hours ago, cpt-dc1-scanprox02.cwh.takealot.com, ubuntu 20.04.
737 hours ago, hq-take2.hq.takealot.com, ubuntu 16.04.
736 hours ago, cpt-hq-db02.hq.takealot.com, ubuntu 16.04.
720 hours ago, cpt-hq-psql01.hq.takealot.com, ubuntu 22.04.
720 hours ago, hq-mysql-common.hq.takealot.com, ubuntu 20.04.
720 hours ago, hq-mysql-57-services-04.hq.takealot.com, ubuntu 20.04.
720 hours ago, hq-mysql-57-services-05.hq.takealot.com, ubuntu 18.04.
720 hours ago, hq-mysql-57-services-10.hq.takealot.com, ubuntu 20.04.
720 hours ago, hq-mysql-57-services-12.hq.takealot.com, ubuntu 20.04.
720 hours ago, cpt-hq-db02-b55.hq.takealot.com, ubuntu 16.04.
356 hours ago, cpt-hq-backup02.hq.takealot.com, ubuntu 20.04.
328 hours ago, cpt-hq-ns01.hq.takealot.com, ubuntu 22.04.
266 hours ago, hq-mysql-57-services-07.hq.takealot.com, ubuntu 18.04.
257 hours ago, cpt-hq-rshiny01.hq.takealot.com, ubuntu 16.04.
257 hours ago, hq-mysql-chsbe-shared.hq.takealot.com, ubuntu 20.04.
239 hours ago, cpt-hq-syslog-poc.hq.takealot.com, ubuntu 22.04.
167 hours ago, k8s-node-15.stagealot.com, ubuntu 20.04.
1 hour  ago, cpt-hq-chef02.hq.takealot.com, ubuntu 20.04.
1 hour  ago, jhb-dc-ns03.jwh.takealot.com, ubuntu 20.04.
57 minutes ago, jira-collector.hq.takealot.com, ubuntu 20.04.
53 minutes ago, hq-postgres-13.hq.takealot.com, ubuntu 20.04.
53 minutes ago, cpt-hq-ntp01.hq.takealot.com, ubuntu 20.04.
45 minutes ago, atlassian-proxy.hq.takealot.com, ubuntu 18.04.
43 minutes ago, jhb-dc-ns01.jwh.takealot.com, ubuntu 20.04.
39 minutes ago, jhb-dc-db01.jwh.takealot.com, ubuntu 20.04.
37 minutes ago, staging-smtp.hq.takealot.com, ubuntu 20.04.
35 minutes ago, cpt-hq-sensu01.hq.takealot.com, ubuntu 20.04.
